"","playerID","yearID","stint","teamID","lgID","POS","G","GS","InnOuts","PO","A","E","DP","PB","WP","SB","CS","ZR"
"639","woodbo01",1901,1,"CLE","AL","OF",3,0,0,5,1,1,0,0,0,0,0,0
"640","woodbo01",1901,1,"CLE","AL","SS",1,0,0,1,1,1,0,0,0,0,0,0
"641","wrighge02",1901,1,"BRO","NL","P",1,0,0,0,1,0,0,0,0,0,0,0
"642","yeagege01",1901,1,"CLE","AL","1B",5,0,0,50,2,2,2,0,0,0,0,0
"643","yeagege01",1901,1,"CLE","AL","2B",2,0,0,1,3,2,0,0,0,0,0,0
"644","yeagege01",1901,1,"CLE","AL","C",25,0,0,90,45,5,1,7,0,0,0,0
"645","yeagege01",1901,1,"CLE","AL","OF",3,0,0,5,1,3,0,0,0,0,0,0
"646","yeagege01",1901,2,"PIT","NL","1B",1,0,0,12,0,1,0,0,0,0,0,0
"647","yeagege01",1901,2,"PIT","NL","3B",4,0,0,4,10,2,4,0,0,0,0,0
"648","yeagege01",1901,2,"PIT","NL","C",20,0,0,81,20,3,2,5,0,0,0,0
"649","yeagejo01",1901,1,"DET","AL","2B",1,0,0,2,1,0,0,0,0,0,0,0
"650","yeagejo01",1901,1,"DET","AL","P",26,0,0,13,66,7,4,0,0,0,0,0
"651","yeagejo01",1901,1,"DET","AL","SS",12,0,0,18,37,6,8,0,0,0,0,0
"652","yerkest01",1901,1,"BLA","AL","P",1,0,0,0,2,0,0,0,0,0,0,0
"653","yerkest01",1901,2,"SLN","NL","P",4,0,0,0,8,0,0,0,0,0,0,0
"654","youngcy01",1901,1,"BOS","AL","P",43,0,0,12,105,3,3,0,0,0,0,0
"655","zimmech01",1901,1,"PIT","NL","C",68,0,0,285,69,9,4,6,0,0,0,0
