"Name","Team","URL","PitchType","Speed"
"Wade Davis","Royals","https://www.baseballprospectus.com/card/card.php?id=47360","Knuckle.Curve",84.2
"Cody Allen","Indians","https://www.baseballprospectus.com/card/card.php?id=68494","Knuckle.Curve",85.8
"Mike Dunn","Marlins","https://www.baseballprospectus.com/card/card.php?id=47296","Knuckle.Curve",82.1
"Lance McCullers","Astros","https://www.baseballprospectus.com/card/card.php?id=100521","Knuckle.Curve",84.5
"Jarred Cosart","Marlins","https://www.baseballprospectus.com/card/card.php?id=59986","Knuckle.Curve",80.2
"Josh Fields","Astros","https://www.baseballprospectus.com/card/card.php?id=59166","Knuckle.Curve",78.9
"James Paxton","Mariners","https://www.baseballprospectus.com/card/card.php?id=68467","Knuckle.Curve",81.2
"Aroldis Chapman","Reds","https://www.baseballprospectus.com/card/card.php?id=53014","Changeup",88
"Trevor Rosenthal","Cardinals","https://www.baseballprospectus.com/card/card.php?id=60664","Changeup",87.2
"Kelvin Herrera","Royals","https://www.baseballprospectus.com/card/card.php?id=56449","Changeup",88.2
"Blake Treinen","Nationals","https://www.baseballprospectus.com/card/card.php?id=68804","Changeup",86.3
"Nathan Eovaldi","Yankees","https://www.baseballprospectus.com/card/card.php?id=57820","Changeup",84.3
"Tommy Hunter","Cubs","https://www.baseballprospectus.com/card/card.php?id=57403","Changeup",88.3
"Jumbo Diaz","Reds","https://www.baseballprospectus.com/card/card.php?id=34744","Changeup",89.5
"Noah Syndergaard","Mets","https://www.baseballprospectus.com/card/card.php?id=67132","Changeup",87.7
"Jeremy Jeffress","Brewers","https://www.baseballprospectus.com/card/card.php?id=50094","Changeup",89.3
"Daniel Hudson","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57996","Changeup",84.7
"Hector Rondon","Cubs","https://www.baseballprospectus.com/card/card.php?id=52251","Changeup",91.3
"Hansel Robles","Mets","https://www.baseballprospectus.com/card/card.php?id=66336","Changeup",86.5
"Bo Schultz","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=58646","Changeup",86.7
